"","country","alpha3","latitude","longitude","avg_export_m","avg_import_m"
"1","Afghanistan","AFG",33,65,831.8087535,26.0055868333333
"2","Albania","ALB",41,20,57.6062146666667,82.9127605
"3","Algeria","DZA",28,3,1352.75823966667,2997.71683516667
"4","Andorra","AND",42.5,1.6,3.2661635,9.80903216666667
"5","Angola","AGO",-12.5,18.5,792.595450333333,2065.06399916667
"6","Anguilla","AIA",18.25,-63.1667,64.3800976666667,3.86802133333333
"7","Antigua and Barbuda","ATG",17.05,-61.8,445.961366333333,9.189794
"8","Argentina","ARG",-34,-64,8583.5756175,4549.700204
"9","Armenia","ARM",40,45,45.9101281666667,58.3188721666667
"10","Aruba","ABW",12.5,-69.9667,732.1809455,31.908979
"11","Australia","AUS",-27,133,24418.1900431667,10967.088756
"12","Austria","AUT",47.3333,13.3333,4133.2030895,12042.9362423333
"13","Azerbaijan","AZE",40.5,47.5,352.758158833333,238.318483166667
"14","Bahamas","BHS",24.25,-76,2797.65926583333,396.148724
"15","Bahrain","BHR",26,50.55,1233.68876466667,890.729843833333
"16","Bangladesh","BGD",24,90,1597.8555025,6074.1780445
"17","Barbados","BRB",13.1667,-59.5333,545.542411,51.8949091666667
"18","Belarus","BLR",53,28,116.127867833333,279.926556833333
"19","Belgium","BEL",50.8333,4,31659.0009655,18284.2297285
"20","Belize","BLZ",17.25,-88.75,342.284297,123.911600166667
"21","Benin","BEN",9.5,2.25,305.725060166667,10.5238376666667
"22","Bermuda","BMU",32.3333,-64.75,596.0778575,38.5064891666667
"23","Bhutan","BTN",27.5,90.5,16.8520141666667,1.726398
"24","Bolivia","BOL",-17,-65,624.529161,644.965655333333
"25","Bosnia and Herzegovina","BIH",44,18,35.2680883333333,90.6892923333333
"26","Botswana","BWA",-22,24,68.3068611666667,388.2474575
"27","Brazil","BRA",-10,-55,36078.8193043333,28057.9140781667
"28","British Indian Ocean Territories","IOT",-6,71.5,13.6420226666667,6.2221355
"29","British Virgin Islands","VGB",18.5,-64.5,446.7137245,14.5074166666667
"30","Brunei","BRN",4.5,114.6667,256.973514333333,46.4182535
"31","Bulgaria","BGR",43,25,357.908351833333,767.369320666667
"32","Burkina Faso","BFA",13,-2,58.0733846666667,4.97414033333333
"33","Burma","MMR",22,98,263.379946,516.452077
"34","Burundi","BDI",-3.5,30,7.43258916666667,8.66321933333333
"35","Cabo Verde","CPV",16,-24,8.025214,3.64451183333333
"36","Cambodia","KHM",13,105,409.245730166667,4107.04304666667
"37","Cameroon","CMR",6,12,193.522509333333,230.883829333333
"38","Canada","CAN",60,-95,279646.251206333,296903.541845
"39","Cayman Islands","CYM",19.5,-80.5,859.619781833333,56.6391698333333
"40","Central African Republic","CAF",7,21,17.3506053333333,2.263965
"41","Chad","TCD",15,19,50.484387,557.162592166667
"42","Chile","CHL",-30,-71,14304.262805,10002.486999
"43","China","CHN",35,105,118808.405895667,479521.724237
"44","Christmas Island","CXR",-10.5,105.6667,1.253928,1.1462075
"45","Cocos (Keeling) Islands","CCK",-12.5,96.8333,0.3896275,2.377239
"46","Colombia","COL",4,-72,14107.7920155,13354.1101793333
"47","Comoros","COM",-12.1667,44.25,1.65554216666667,2.90408816666667
"48","Congo (Brazzaville)","COG",-1,15,134.353106833333,282.059481
"49","Congo (Kinshasa)","COD",0,25,109.6588485,85.5895038333333
"50","Cook Islands","COK",-21.2333,-159.7667,5.87530966666667,1.71020733333333
"51","Costa Rica","CRI",10,-84,6079.66256516667,4796.58298533333
"52","Cote d'Ivoire","CIV",8,-5,279.3019575,1076.77994166667
"53","Croatia","HRV",45.1667,15.5,452.264917333333,523.0394495
"54","Cuba","CUB",21.5,-80,242.185302,3.11831333333333
"55","Curacao","CUW",12.2,-69,589.864432166667,158.521934833333
"56","Cyprus","CYP",35,33,134.421301333333,55.5033191666667
"57","Czech Republic","CZE",49.75,15.5,2498.98034216667,4922.18318766667
"58","Denmark","DNK",56,10,2585.48006116667,9150.63211816667
"59","Djibouti","DJI",11.5,43,148.5921625,36.1282698333333
"60","Dominica","DMA",15.4167,-61.3333,134.859878333333,1.81234783333333
"61","Dominican Republic","DOM",19,-70.6667,8078.22641083333,5021.984805
"62","Ecuador","ECU",-2,-77.5,5082.91597716667,6589.45486883333
"63","Egypt","EGY",27,30,4588.47333333333,2058.04632466667
"64","El Salvador","SLV",13.8333,-88.9167,3105.64399516667,2400.8554135
"65","Equatorial Guinea","GNQ",2,10,167.083778333333,292.559867833333
"66","Eritrea","ERI",15,39,8.79309316666667,0.255808333333333
"67","Estonia","EST",59,26,320.094954666667,855.78523
"68","Eswatini","SWZ",-26.5,31.5,25.4508063333333,17.9400355
"69","Ethiopia","ETH",8,38,1081.27236466667,396.6628075
"70","Falkland Islands (Islas Malvinas)","FLK",-51.75,-59,0.9537875,14.8453708333333
"71","Faroe Islands","FRO",62,-7,2.554295,121.097413166667
"72","Fiji","FJI",-18,175,71.0373006666667,219.595058833333
"73","Finland","FIN",64,26,1633.7658705,5576.081356
"74","France","FRA",46,2,32742.816982,49412.1115693333
"75","French Guiana","GUF",4,-53,493.376768333333,1.8724945
"76","French Polynesia","PYF",-15,-140,231.540576,38.9330156666667
"77","French Southern and Antarctic Lands","ATF",-43,67,4.0478035,0.0798
"78","Gabon","GAB",-1,11.75,118.631898333333,187.863849
"79","Gambia","GMB",13.4667,-16.5667,40.7674908333333,0.948209833333333
"80","Gaza Strip Administered by Israel",NA,NA,NA,0.284804,0.114853166666667
"81","Georgia","GEO",42,43.5,455.056454666667,149.623426333333
"82","Germany","DEU",51,9,54863.0508636667,120821.754403
"83","Ghana","GHA",8,-2,847.021610833333,603.668889166667
"84","Gibraltar","GIB",36.1833,-5.3667,1406.64962633333,6.83601916666667
"85","Greece","GRC",39,22,1056.39527633333,1376.80355766667
"86","Greenland","GRL",72,-40,9.57963266666667,15.8880301666667
"87","Grenada","GRD",12.1167,-61.6667,103.181454,12.497821
"88","Guadeloupe","GLP",16.25,-61.5833,207.854831166667,2.96620116666667
"89","Guatemala","GTM",15.5,-90.25,6304.568731,4018.134894
"90","Guinea","GIN",11,-10,118.859413166667,22.6779763333333
"91","Guinea-Bissau","GNB",12,-15,5.48443583333333,0.5502795
"92","Guyana","GUY",5,-59,509.555236833333,375.626232
"93","Haiti","HTI",19,-72.4167,1285.5022335,942.713484833333
"94","Heard and McDonald Islands","HMD",-53.1,72.5167,0.291207333333333,0.1040655
"95","Honduras","HND",15,-86.5,5058.739028,4554.47711
"96","Hong Kong","HKG",22.25,114.1667,34002.1580958333,6753.7638455
"97","Hungary","HUN",47,20,1871.408469,5299.7293875
"98","Iceland","ISL",65,-18,463.401869333333,406.2155665
"99","India","IND",20,77,27270.204652,50420.3104886667
"100","Indonesia","IDN",-5,120,7220.936984,20032.8463501667
"101","Iran","IRN",32,53,188.1834805,39.4717643333333
"102","Iraq","IRQ",33,44,1286.401662,7181.345834
"103","Ireland","IRL",53,-8,9760.70198116667,53092.7742051667
"104","Israel","ISR",31.5,34.75,12931.460623,20867.2286851667
"105","Italy","ITA",42.8333,12.8333,19655.4711133333,50134.3852308333
"106","Jamaica","JAM",18.25,-77.5,2044.0588285,350.045051833333
"107","Japan","JPN",36,138,67810.286185,134196.110213167
"108","Jordan","JOR",31,36,1523.11684666667,1764.46840333333
"109","Kazakhstan","KAZ",48,68,692.095131,976.537069166667
"110","Kenya","KEN",1,38,488.765571333333,596.206322
"111","Kiribati","KIR",1.4167,173,3.623947,2.78145333333333
"112","Korea, North","PRK",40,127,1.2192975,0
"113","Korea, South","KOR",37,127.5,49694.9472623333,73468.7545585
"114","Kosovo","XKX",42.6,20.9,19.3999331666667,3.1724675
"115","Kuwait","KWT",29.3375,47.6581,3253.48439633333,2512.58608533333
"116","Kyrgyzstan","KGZ",41,75,24.7416986666667,7.31653566666667
"117","Laos","LAO",18,105,23.1727843333333,98.5571471666667
"118","Latvia","LVA",57,25,381.618346,525.822887333333
"119","Lebanon","LBN",33.8333,35.8333,1105.618015,130.521792
"120","Lesotho","LSO",-29.5,28.5,1.8898835,333.855339833333
"121","Liberia","LBR",6.5,-9.5,139.311963833333,62.3085731666667
"122","Libya","LBY",25,17,254.774276,812.074931333333
"123","Liechtenstein","LIE",47.1667,9.5333,32.551889,299.994235166667
"124","Lithuania","LTU",56,24,710.033582333333,1242.59653583333
"125","Luxembourg","LUX",49.75,6.1667,1379.57259633333,552.363358166667
"126","Macau","MAC",22.1667,113.55,505.381957166667,107.344999833333
"127","Macedonia","MKD",41.8333,22,30.678977,203.356516
"128","Madagascar","MDG",-20,47,61.364719,643.2756735
"129","Malawi","MWI",-13.5,34,27.493241,62.9821395
"130","Malaysia","MYS",2.5,112.5,12594.279377,38672.1702326667
"131","Maldives","MDV",3.25,73,33.709259,21.5005008333333
"132","Mali","MLI",17,-4,75.5892431666667,3.89637933333333
"133","Malta","MLT",35.8333,14.5833,262.975847666667,371.062668333333
"134","Marshall Islands","MHL",9,168,239.269855166667,27.6874101666667
"135","Martinique","MTQ",14.6667,-61,157.730085333333,14.374881
"136","Mauritania","MRT",20,-12,112.905008333333,22.893386
"137","Mauritius","MUS",-20.2833,57.55,80.5558873333333,320.425849166667
"138","Mayotte","MYT",-12.8333,45.1667,2.10551583333333,0.248098166666667
"139","Mexico","MEX",23,-102,240914.144821,321706.305486167
"140","Micronesia","FSM",6.9167,158.25,46.3056606666667,1.22594466666667
"141","Moldova","MDA",47,29,22.1160333333333,49.7618948333333
"142","Monaco","MCO",43.7333,7.4,89.588771,55.0759478333333
"143","Mongolia","MNG",46,105,106.5448945,14.0006166666667
"144","Montenegro","MNE",42,19,25.9526066666667,3.28461433333333
"145","Montserrat","MSR",16.75,-62.2,11.8000456666667,1.36077266666667
"146","Morocco","MAR",32,-5,2428.39730283333,1242.2324805
"147","Mozambique","MOZ",-18.25,35,183.2651885,117.490075666667
"148","Namibia","NAM",-22,17,152.639797833333,108.3068885
"149","Nauru","NRU",-0.5333,166.9167,0.843938833333333,2.30133916666667
"150","Nepal","NPL",28,84,70.6922828333333,90.5591908333333
"151","Netherlands","NLD",52.5,5.75,44424.3478451667,22077.1303943333
"152","New Caledonia","NCL",-21.5,165.5,68.9014341666667,47.6127451666667
"153","New Zealand","NZL",-41,174,3722.3186555,4166.95780466667
"154","Nicaragua","NIC",13,-85,1507.48458933333,3460.8369835
"155","Niger","NER",16,8,80.0592346666667,28.6913255
"156","Nigeria","NGA",10,8,2695.91373233333,4141.458536
"157","Niue","NIU",-19.0333,-169.8667,0.319991333333333,0.542133666666667
"158","Norfolk Island","NFK",-29.0333,167.95,2.08777783333333,0.4372995
"159","North Macedonia",NA,NA,NA,42.1938554,256.1281988
"160","Norway","NOR",62,10,4174.75486966667,5245.17379616667
"161","Oman","OMN",21,57,1937.90522416667,1057.93110733333
"162","Pakistan","PAK",30,70,2530.04277483333,3708.48467583333
"163","Palau","PLW",7.5,134.5,22.0126701666667,0.903877666666667
"164","Panama","PAN",9,-80,6677.1366505,470.9815545
"165","Papua New Guinea","PNG",-6,147,114.938081333333,91.5777976666667
"166","Paraguay","PRY",-23,-58,1968.8890835,146.577414666667
"167","Peru","PER",-10,-76,8729.01047583333,6355.75007283333
"168","Philippines","PHL",13,122,8278.32133283333,11402.6729885
"169","Pitcairn Islands","PCN",-24.7,-127.4,0.026886,0.0179376666666667
"170","Poland","POL",52,20,4693.643842,7277.08161833333
"171","Portugal","PRT",39.5,-8,1340.158946,3607.0937455
"172","Qatar","QAT",25.5,51.25,4429.00184183333,1359.68081433333
"173","Reunion","REU",-21.1,55.6,81.7000826666667,13.2600726666667
"174","Romania","ROU",46,25,896.8416955,2238.8114375
"175","Russia","RUS",60,100,6207.792641,17987.4396628333
"176","Rwanda","RWA",-2,30,37.7622308333333,43.4019748333333
"177","Samoa","WSM",-13.5833,-172.3333,34.5340978333333,5.56920383333333
"178","San Marino","SMR",43.7667,12.4167,7.84680666666667,8.856145
"179","Sao Tome and Principe","STP",1,7,1.91449833333333,0.882035166666667
"180","Saudi Arabia","SAU",25,45,15566.8600515,17389.673685
"181","Senegal","SEN",14,-14,226.190454833333,93.1002231666667
"182","Serbia","SRB",44,21,142.524098,329.500581166667
"183","Seychelles","SYC",-4.5833,55.6667,16.0526963333333,7.929978
"184","Sierra Leone","SLE",8.5,-11.5,73.8572236666667,36.4658528333333
"185","Singapore","SGP",1.3667,103.8,29355.1428695,23205.5594111667
"186","Sint Maarten",NA,NA,NA,618.645074333333,81.3033183333333
"187","Slovakia","SVK",48.6667,19.5,354.893123833333,3700.62411383333
"188","Slovenia","SVN",46,15,337.1384165,865.706115666667
"189","Solomon Islands","SLB",-8,159,10.2130075,3.71489066666667
"190","Somalia","SOM",10,49,61.3480326666667,0.9489805
"191","South Africa","ZAF",-29,24,5076.96076283333,8246.480415
"192","South Sudan","SSD",6.88,31.3,21.4062383333333,11.2064108333333
"193","Spain","ESP",40,-4,12154.0196338333,15416.0901401667
"194","Sri Lanka","LKA",7,81,363.5956355,2728.42934716667
"195","St Helena","SHN",-15.9333,-5.7,1.86705583333333,12.4992681666667
"196","St Kitts and Nevis","KNA",17.3333,-62.75,179.880988,52.0077605
"197","St Lucia","LCA",13.8833,-61.1333,596.9712605,21.685281
"198","St Pierre and Miquelon","SPM",46.8333,-56.3333,0.1955075,0.121510333333333
"199","St Vincent and the Grenadines","VCT",13.25,-61.2,86.833008,4.303166
"200","Sudan","SDN",15,30,70.8685968333333,25.9800365
"201","Suriname","SUR",4,-56,356.436340333333,104.942552666667
"202","Svalbard, Jan Mayen Island","SJM",78,20,1.8004775,0.0723575
"203","Sweden","SWE",62,15,4167.84020533333,10998.4928866667
"204","Switzerland","CHE",47,8,20793.3008728333,44043.7861756667
"205","Syria","SYR",35,38,12.5007281666667,7.01691116666667
"206","Taiwan","TWN",23.5,121,28310.9016613333,47156.7602698333
"207","Tajikistan","TJK",39,71,15.250629,6.104476
"208","Tanzania","TZA",-6,35,230.973693,120.874777166667
"209","Thailand","THA",15,100,11625.3815178333,32020.6548291667
"210","Timor-Leste","TLS",-8.55,125.5167,3.74901783333333,5.21650016666667
"211","Togo","TGO",8,1.1667,400.723570833333,14.208208
"212","Tokelau","TKL",-9,-172,3.880247,3.37482283333333
"213","Tonga","TON",-20,-175,17.5004318333333,3.38421766666667
"214","Trinidad and Tobago","TTO",11,-61,2326.44625233333,3351.8798495
"215","Tunisia","TUN",34,9,527.625700666667,514.627419666667
"216","Turkey","TUR",39,35,9823.43157133333,9543.43780933333
"217","Turkmenistan","TKM",40,60,93.5485846666667,21.5484716666667
"218","Turks and Caicos Islands","TCA",21.75,-71.5833,318.165794,9.2092495
"219","Tuvalu","TUV",-8,178,1.072453,0.138933833333333
"220","Uganda","UGA",1,32,91.996735,70.9804161666667
"221","Ukraine","UKR",49,32,1734.87691383333,1067.400693
"222","Unidentified Countries",NA,NA,NA,1.771484,0
"223","United Arab Emirates","ARE",24,54,19949.088767,3750.8413405
"224","United Kingdom","GBR",54,-2,60349.4181698333,56620.9119138333
"225","Uruguay","URY",-33,-56,1374.68421433333,550.787798
"226","Uzbekistan","UZB",41,64,262.492836,31.3989521666667
"227","Vanuatu","VUT",-16,167,7.23600966666667,5.47702116666667
"228","Vatican City","VAT",41.9,12.45,0.902737666666667,1.075839
"229","Venezuela","VEN",8,-66,4363.16066583333,9016.40182433333
"230","Vietnam","VNM",16,106,9309.75088666667,53668.5527506667
"231","Wallis and Futuna","WLF",-13.3,-176.2,0.453173666666667,0.255472
"232","West Bank Administered by Israel",NA,31.9522,35.2332,1.9633675,5.3294635
"233","Western Sahara","ESH",24.5,-13,4.80439866666667,0.0868973333333333
"234","World Total",NA,NA,NA,1540373.19416867,2357838.08976483
"235","Yemen","YEM",15,48,220.038205833333,11.8285896666667
"236","Zambia","ZMB",-15,30,102.9090795,79.0621288333333
"237","Zimbabwe","ZWE",-20,30,37.9944855,49.5445895
